image_name,object_class,vehicle_lat,vehicle_lon,vehicle_heading_deg,target_range_m,target_azimuth_deg,target_lat,target_lon,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,split
00207.xml,human body,18.921729,72.827333,270.0,20.77,-8.26,18.921702,72.827138,390,920,446,1010,UATD Training
00208.xml,ball,18.921729,72.827371,270.0,22.93,-14.77,18.921676,72.827161,318,1047,370,1105,UATD Training
00208.xml,human body,18.921729,72.827371,270.0,20.99,-7.03,18.921706,72.827174,404,930,460,1022,UATD Training
00209.xml,ball,18.921729,72.827409,270.0,22.91,-14.77,18.921676,72.827199,322,1047,366,1103,UATD Training
00209.xml,human body,18.921729,72.827409,270.0,20.77,-6.86,18.921706,72.827214,408,914,460,1016,UATD Training
00210.xml,ball,18.921729,72.827447,270.0,22.94,-15.91,18.921672,72.827238,306,1049,356,1102,UATD Training
00210.xml,human body,18.921729,72.827447,270.0,20.84,-7.29,18.921705,72.827251,404,932,454,1003,UATD Training
00211.xml,ball,18.921729,72.827485,270.0,23.17,-15.38,18.921673,72.827273,318,1061,356,1115,UATD Training
00211.xml,human body,18.921729,72.827485,270.0,20.99,-6.77,18.921706,72.827287,410,940,460,1012,UATD Training
00212.xml,ball,18.921729,72.827523,270.0,23.32,-14.94,18.921675,72.827309,318,1067,366,1125,UATD Training
00212.xml,human body,18.921729,72.827523,270.0,21.07,-6.42,18.921708,72.827325,416,936,462,1024,UATD Training
00213.xml,ball,18.921729,72.827561,270.0,23.15,-16.17,18.921671,72.82735,300,1055,356,1119,UATD Training
00213.xml,human body,18.921729,72.827561,270.0,20.79,-6.77,18.921707,72.827365,410,922,460,1010,UATD Training
00214.xml,ball,18.921729,72.827599,270.0,23.65,-13.8,18.921678,72.827381,332,1089,378,1137,UATD Training
00214.xml,human body,18.921729,72.827599,270.0,21.14,-5.8,18.92171,72.8274,424,952,468,1016,UATD Training
00215.xml,ball,18.921729,72.827637,270.0,23.56,-16.79,18.921667,72.827423,296,1079,346,1137,UATD Training
00215.xml,human body,18.921729,72.827637,270.0,21.18,-8.44,18.921701,72.827438,392,964,440,1008,UATD Training
00216.xml,ball,18.921729,72.827675,270.0,23.75,-13.1,18.92168,72.827456,332,1091,394,1145,UATD Training
00216.xml,human body,18.921729,72.827675,270.0,21.18,-5.45,18.921711,72.827475,426,956,474,1016,UATD Training
00217.xml,human body,18.921729,72.827713,270.0,23.54,-16.44,18.921669,72.827499,306,1087,344,1127,UATD Training
00217.xml,ball,18.921729,72.827713,270.0,21.16,-7.73,18.921703,72.827514,388,958,460,1012,UATD Training
00218.xml,human body,18.921729,72.827751,270.0,21.18,-7.91,18.921703,72.827552,390,950,454,1022,UATD Training
00218.xml,ball,18.921729,72.827751,270.0,23.56,-17.49,18.921665,72.827538,290,1089,336,1127,UATD Training
00219.xml,human body,18.921729,72.827789,270.0,20.97,-6.77,18.921707,72.827591,410,940,460,1010,UATD Training
00219.xml,ball,18.921729,72.827789,270.0,23.25,-17.67,18.921665,72.827579,288,1065,334,1119,UATD Training
00220.xml,human body,18.921729,72.827827,270.0,21.2,-4.83,18.921713,72.827627,434,951,480,1021,UATD Training
00220.xml,ball,18.921729,72.827827,270.0,23.63,-14.59,18.921675,72.82761,324,1086,368,1136,UATD Training
00221.xml,human body,18.921729,72.827865,270.0,21.03,-6.15,18.921708,72.827667,416,948,468,1007,UATD Training
00221.xml,ball,18.921729,72.827865,270.0,23.36,-17.23,18.921666,72.827653,294,1072,338,1122,UATD Training
00222.xml,ball,18.921729,72.827903,270.0,23.59,-16.08,18.92167,72.827688,302,1084,356,1134,UATD Training
00222.xml,human body,18.921729,72.827903,270.0,21.08,-4.13,18.921715,72.827703,436,949,494,1011,UATD Training
00223.xml,human body,18.921729,72.827941,270.0,21.16,-4.39,18.921714,72.827741,430,957,494,1011,UATD Training
00223.xml,ball,18.921729,72.827941,270.0,23.67,-16.0,18.92167,72.827725,308,1086,352,1140,UATD Training
00224.xml,human body,18.921729,72.827979,270.0,16.47,-3.96,18.921719,72.827823,426,467,508,524,UATD Training
00224.xml,ball,18.921729,72.827979,270.0,19.13,-16.7,18.921679,72.827805,296,564,348,609,UATD Training
00225.xml,human body,18.921729,72.828017,270.0,16.46,-4.31,18.921718,72.827861,420,467,506,523,UATD Training
00225.xml,ball,18.921729,72.828017,270.0,19.29,-16.61,18.921679,72.827841,294,574,352,610,UATD Training
00226.xml,human body,18.921729,72.828055,270.0,16.65,-3.16,18.921721,72.827897,436,473,516,530,UATD Training
00226.xml,ball,18.921729,72.828055,270.0,19.57,-15.91,18.92168,72.827876,300,580,362,623,UATD Training
00227.xml,human body,18.921729,72.828093,270.0,16.49,-3.34,18.92172,72.827937,434,470,514,522,UATD Training
00227.xml,ball,18.921729,72.828093,270.0,19.4,-15.64,18.921682,72.827916,310,578,358,613,UATD Training
00228.xml,human body,18.921729,72.828131,270.0,16.56,-4.31,18.921718,72.827974,408,471,518,526,UATD Training
00228.xml,ball,18.921729,72.828131,270.0,19.21,-16.7,18.921679,72.827956,294,570,350,608,UATD Training
